s.id,s
"""1""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002204, tau: 1000, J: 0.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""1"", state: ""X2Sigma+"", Lambda: 0, energy: 0.0}"
"""10231""","{ef: ""e"", gi: 80, parity: ""-"", g: 0.051339, tau: 99.651, J: 19.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""10231"", state: ""X2Sigma+"", Lambda: 0, energy: 147.4148}"
"""10232""","{ef: ""e"", gi: 80, parity: ""-"", g: 0.051339, tau: 0.052221, J: 19.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""10232"", state: ""X2Sigma+"", Lambda: 0, energy: 1002.5046}"
"""10233""","{ef: ""e"", gi: 80, parity: ""-"", g: 0.051339, tau: 0.026374, J: 19.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""10233"", state: ""X2Sigma+"", Lambda: 0, energy: 1851.9371}"
"""1051""","{ef: ""f"", gi: 12, parity: ""-"", g: -0.286031, tau: 27448.0, J: 2.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""1051"", state: ""X2Sigma+"", Lambda: 0, energy: 4.6566}"
"""1052""","{ef: ""f"", gi: 12, parity: ""-"", g: -0.286031, tau: 0.05212, J: 2.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""1052"", state: ""X2Sigma+"", Lambda: 0, energy: 860.3822}"
"""1071""","{ef: ""f"", gi: 12, parity: ""-"", g: 0.856246, tau: 0.3557, J: 2.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""1071"", state: ""Ap2Delta"", Lambda: -2, energy: 14854.105216}"
"""1079""","{ef: ""f"", gi: 12, parity: ""-"", g: 0.341255, tau: 3.2732e-8, J: 2.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""1079"", state: ""A2Pi"", Lambda: -1, energy: 16726.071447}"
"""1321""","{ef: ""f"", gi: 16, parity: ""+"", g: -0.222468, tau: 11182.0, J: 3.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""1321"", state: ""X2Sigma+"", Lambda: 0, energy: 7.761}"
"""1322""","{ef: ""f"", gi: 16, parity: ""+"", g: -0.222468, tau: 0.052125, J: 3.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""1322"", state: ""X2Sigma+"", Lambda: 0, energy: 863.4727}"
"""1341""","{ef: ""f"", gi: 16, parity: ""+"", g: 0.474739, tau: 0.14832, J: 3.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""1341"", state: ""Ap2Delta"", Lambda: 2, energy: 14856.743007}"
