S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
"""184""","""1""","[""1"", ""301"", ""2"", ""302"", ""3"", ""303"", ""4"", ""304""]",4.0,8,0.279,1879.0,1.0,0.15254439415032883,0.99981311,1.0,0.15254439415032883,"[482.1, 482.15, 502.85, 502.9, 525.3, 525.36, 549.68, 549.75]","[0.232047, 0.655269, 0.030649, 0.072128, 0.002901, 0.006226, 0.000196, 0.000397]"
"""184""","""301""","[""1"", ""301"", ""2"", ""302"", ""3"", ""303"", ""4"", ""304""]",4.0,8,0.279,1879.0,1.0,0.15254439415032883,0.99981311,1.0,0.15254439415032883,"[482.1, 482.15, 502.85, 502.9, 525.3, 525.36, 549.68, 549.75]","[0.232047, 0.655269, 0.030649, 0.072128, 0.002901, 0.006226, 0.000196, 0.000397]"
"""34""","""541""","[""151"", ""541"", ""152"", ""542"", ""153"", ""543"", ""154"", ""544""]",4.0,8,0.278,1879.0,1.0,0.1533143648526013,0.99981217,1.0,0.1533143648526013,"[482.14, 482.14, 502.89, 502.89, 525.35, 525.35, 549.73, 549.73]","[0.36344, 0.52388, 0.038013, 0.06476, 0.003189, 0.005936, 0.0002, 0.000394]"
"""34""","""151""","[""151"", ""541"", ""152"", ""542"", ""153"", ""543"", ""154"", ""544""]",4.0,8,0.278,1879.0,1.0,0.1533143648526013,0.99981217,1.0,0.1533143648526013,"[482.14, 482.14, 502.89, 502.89, 525.35, 525.35, 549.73, 549.73]","[0.36344, 0.52388, 0.038013, 0.06476, 0.003189, 0.005936, 0.0002, 0.000394]"
"""326""","""151""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""1071""]",4.0,8,0.295,2322.0,1.0,0.26445262733827957,0.99973776,1.0,0.26445262733827957,"[597.97, 597.97, 598.1, 630.21, 630.21, 630.37, 665.89, 5347.49]","[0.497863, 0.395973, 0.099903, 0.002366, 0.001892, 0.000475, 0.000228, 0.001036]"
"""326""","""541""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""1071""]",4.0,8,0.295,2322.0,1.0,0.26445262733827957,0.99973776,1.0,0.26445262733827957,"[597.97, 597.97, 598.1, 630.21, 630.21, 630.37, 665.89, 5347.49]","[0.497863, 0.395973, 0.099903, 0.002366, 0.001892, 0.000475, 0.000228, 0.001036]"
"""326""","""1051""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""1071""]",4.0,8,0.295,2322.0,1.0,0.26445262733827957,0.99973776,1.0,0.26445262733827957,"[597.97, 597.97, 598.1, 630.21, 630.21, 630.37, 665.89, 5347.49]","[0.497863, 0.395973, 0.099903, 0.002366, 0.001892, 0.000475, 0.000228, 0.001036]"
"""566""","""301""","[""1"", ""301"", ""781"", ""2"", ""302"", ""782"", ""3"", ""801""]",4.0,8,0.295,2322.0,1.0,0.26514778434173286,0.99973707,1.0,0.26514778434173286,"[597.94, 598.02, 598.02, 630.18, 630.28, 630.28, 665.85, 5347.49]","[0.495975, 0.398992, 0.098773, 0.002363, 0.001897, 0.000474, 0.000227, 0.001036]"
"""566""","""1""","[""1"", ""301"", ""781"", ""2"", ""302"", ""782"", ""3"", ""801""]",4.0,8,0.295,2322.0,1.0,0.26514778434173286,0.99973707,1.0,0.26514778434173286,"[597.94, 598.02, 598.02, 630.18, 630.28, 630.28, 665.85, 5347.49]","[0.495975, 0.398992, 0.098773, 0.002363, 0.001897, 0.000474, 0.000227, 0.001036]"
"""566""","""781""","[""1"", ""301"", ""781"", ""2"", ""302"", ""782"", ""3"", ""801""]",4.0,8,0.295,2322.0,1.0,0.26514778434173286,0.99973707,1.0,0.26514778434173286,"[597.94, 598.02, 598.02, 630.18, 630.28, 630.28, 665.85, 5347.49]","[0.495975, 0.398992, 0.098773, 0.002363, 0.001897, 0.000474, 0.000227, 0.001036]"
