S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
"""37""","""151""","[""152"", ""542"", ""151"", ""541"", ""153"", ""543"", ""154"", ""544"", ""545"", ""155"", ""546"", ""562""]",4.0,12,0.397,2860.0,1.136,0.19806185696434583,0.99984053,1.14,0.19806185696434583,"[484.59, 484.59, 465.3, 465.3, 505.41, 505.41, 527.94, 527.94, 552.4, 552.4, 579.05, 1613.14]","[0.267655, 0.387845, 0.055776, 0.07133, 0.068685, 0.117451, 0.009838, 0.018235, 0.001827, 0.000944, 0.000143, 0.000113]"
"""37""","""541""","[""152"", ""542"", ""151"", ""541"", ""153"", ""543"", ""154"", ""544"", ""545"", ""155"", ""546"", ""562""]",4.0,12,0.397,2860.0,1.136,0.19806185696434583,0.99984053,1.14,0.19806185696434583,"[484.59, 484.59, 465.3, 465.3, 505.41, 505.41, 527.94, 527.94, 552.4, 552.4, 579.05, 1613.14]","[0.267655, 0.387845, 0.055776, 0.07133, 0.068685, 0.117451, 0.009838, 0.018235, 0.001827, 0.000944, 0.000143, 0.000113]"
"""187""","""301""","[""2"", ""302"", ""1"", ""301"", ""3"", ""303"", ""4"", ""304"", ""5"", ""305"", ""306"", ""322""]",4.0,12,0.399,2860.0,1.14,0.1832779292242665,0.99985243,1.14,0.1832779292242665,"[484.55, 484.61, 465.26, 465.31, 505.37, 505.43, 527.9, 527.96, 552.35, 552.42, 579.07, 1612.91]","[0.172144, 0.483352, 0.030006, 0.097093, 0.055656, 0.130488, 0.008898, 0.019178, 0.000905, 0.001866, 0.000155, 0.000112]"
"""187""","""1""","[""2"", ""302"", ""1"", ""301"", ""3"", ""303"", ""4"", ""304"", ""5"", ""305"", ""306"", ""322""]",4.0,12,0.399,2860.0,1.14,0.1832779292242665,0.99985243,1.14,0.1832779292242665,"[484.55, 484.61, 465.26, 465.31, 505.37, 505.43, 527.9, 527.96, 552.35, 552.42, 579.07, 1612.91]","[0.172144, 0.483352, 0.030006, 0.097093, 0.055656, 0.130488, 0.008898, 0.019178, 0.000905, 0.001866, 0.000155, 0.000112]"
"""34""","""151""","[""151"", ""541"", ""152"", ""542"", ""153"", ""543"", ""154"", ""544"", ""545"", ""155"", ""559"", ""172""]",4.0,12,0.401,2845.0,1.141,0.01343834005380429,0.99998912,1.14,0.01343834005380429,"[482.14, 482.14, 502.89, 502.89, 525.35, 525.35, 549.73, 549.73, 576.31, 576.31, 1602.16, 2248.86]","[0.36344, 0.52388, 0.038013, 0.06476, 0.003189, 0.005936, 0.0002, 0.000394, 0.000022, 0.000012, 0.000125, 0.000018]"
"""34""","""541""","[""151"", ""541"", ""152"", ""542"", ""153"", ""543"", ""154"", ""544"", ""545"", ""155"", ""559"", ""172""]",4.0,12,0.401,2845.0,1.141,0.01343834005380429,0.99998912,1.14,0.01343834005380429,"[482.14, 482.14, 502.89, 502.89, 525.35, 525.35, 549.73, 549.73, 576.31, 576.31, 1602.16, 2248.86]","[0.36344, 0.52388, 0.038013, 0.06476, 0.003189, 0.005936, 0.0002, 0.000394, 0.000022, 0.000012, 0.000125, 0.000018]"
"""1917""","""1591""","[""1591"", ""2131"", ""2671"", ""1592"", ""2132"", ""2672"", ""1593"", ""2133"", ""2673"", ""1594"", ""2674"", ""2149""]",4.0,12,0.402,2845.0,1.144,0.16621555068507163,0.99986548,1.14,0.16621555068507163,"[482.06, 482.23, 482.23, 502.8, 502.98, 502.98, 525.25, 525.45, 525.45, 549.63, 549.84, 1602.36]","[0.437918, 0.02164, 0.427716, 0.048297, 0.001669, 0.052845, 0.004171, 0.000115, 0.004844, 0.000267, 0.000321, 0.000061]"
"""1107""","""301""","[""301"", ""781"", ""1321"", ""302"", ""782"", ""1322"", ""303"", ""783"", ""1323"", ""304"", ""1324"", ""1339""]",4.0,12,0.402,2845.0,1.144,0.17773650507979505,0.99985616,1.14,0.17773650507979505,"[482.06, 482.06, 482.19, 502.81, 502.81, 502.94, 525.26, 525.26, 525.41, 549.64, 549.8, 1602.11]","[0.314977, 0.011144, 0.561174, 0.038981, 0.002063, 0.061751, 0.003575, 0.000225, 0.00533, 0.000237, 0.00034, 0.000059]"
"""1107""","""781""","[""301"", ""781"", ""1321"", ""302"", ""782"", ""1322"", ""303"", ""783"", ""1323"", ""304"", ""1324"", ""1339""]",4.0,12,0.402,2845.0,1.144,0.17773650507979505,0.99985616,1.14,0.17773650507979505,"[482.06, 482.06, 482.19, 502.81, 502.81, 502.94, 525.26, 525.26, 525.41, 549.64, 549.8, 1602.11]","[0.314977, 0.011144, 0.561174, 0.038981, 0.002063, 0.061751, 0.003575, 0.000225, 0.00533, 0.000237, 0.00034, 0.000059]"
"""349""","""1051""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""543"", ""1053"", ""154"", ""1054"", ""1069""]",4.0,12,0.402,2845.0,1.144,0.18676369447148208,0.99984886,1.14,0.18676369447148208,"[482.08, 482.08, 482.17, 502.83, 502.83, 502.92, 525.28, 525.28, 525.38, 549.66, 549.77, 1602.01]","[0.262347, 0.035473, 0.589487, 0.032455, 0.005452, 0.064877, 0.002976, 0.000552, 0.0056, 0.000197, 0.000357, 0.000074]"
